Customer_Id,Age,Income,Credit_Score,Region,Gender,Loan_Amount,Loan_Tenure,Default,Repayment_time,Loan_purpose,Gold_price_fluctuation,Gold_purity,Branch_location,Processing_time,Responded_to_promotion,Branch_size,Turnaround_time
40,28,151937,722,Semi-urban,Female,487417,3,0,8,Medical,-0.36,22.79,Rural,17,0,6,17
41,58,162245,670,Rural,Male,71280,8,0,2,Education,-1.33,20.24,Rural,22,0,9,23
42,37,189169,505,Rural,Male,94156,6,0,5,Education,0.96,23.11,Urban,23,0,8,1
43,23,53371,585,Urban,Female,418036,8,0,10,Education,5.67,20.73,Rural,13,1,3,30
44,44,162326,404,Rural,Male,26547,2,0,8,Business,-8.85,21.41,Urban,13,0,9,20
45,33,155090,842,Rural,Female,334384,9,0,7,Business,6.23,21.37,Urban,12,1,4,10
46,28,25192,541,Semi-urban,Female,324698,1,0,4,Personal,-5.43,18.72,Rural,28,1,9,36
47,45,22015,790,Rural,Female,248987,3,0,10,Medical,-4.96,20.13,Rural,12,0,3,1
48,21,128154,797,Rural,Male,74600,4,0,9,Medical,1.99,19.45,Urban,12,1,8,16
49,39,48343,734,Rural,Female,56108,6,0,2,Business,9.51,22.1,Urban,25,1,7,47
50,47,89306,783,Rural,Male,277862,11,0,7,Medical,-9.65,23.6,Urban,17,0,4,4
51,26,25829,746,Rural,Male,449070,4,0,7,Personal,3.46,19.27,Urban,24,1,4,1
52,63,54381,683,Urban,Female,248916,11,0,7,Medical,3.94,18.55,Semi_urban,29,0,8,17
53,27,131451,809,Rural,Female,9214,2,1,7,Medical,1.47,21.04,Semi_urban,18,0,5,19
54,54,38263,469,Semi-urban,Male,357741,3,0,5,Business,-9.81,20.35,Urban,15,0,7,21
55,33,194378,622,Semi-urban,Female,457716,3,0,1,Business,2.13,18.21,Urban,29,0,7,14
56,36,78418,773,Rural,Male,384333,6,0,4,Medical,-7.7,23.53,Rural,13,0,5,9
57,55,20148,531,Rural,Male,82038,5,0,5,Medical,-8.44,23.64,Urban,19,1,7,15
58,59,152826,658,Rural,Male,370575,5,0,10,Personal,3.92,23.1,Urban,13,0,5,13
59,23,46745,574,Urban,Male,178098,11,0,4,Personal,4.0,19.68,Rural,29,1,8,9
60,21,92914,331,Semi-urban,Male,233745,4,0,7,Personal,7.8,18.73,Rural,11,1,5,18
61,25,171212,476,Urban,Male,117424,4,1,2,Education,-9.93,21.55,Urban,15,0,5,45
62,61,80653,364,Urban,Female,394251,9,0,2,Education,-2.42,19.69,Rural,10,0,9,11
63,23,98315,326,Rural,Male,250453,7,0,11,Education,-9.75,19.21,Semi_urban,20,1,6,37
64,48,51075,778,Rural,Male,133899,8,0,2,Medical,-2.71,21.85,Semi_urban,12,1,4,19
65,37,181769,567,Semi-urban,Female,15007,4,0,10,Personal,-0.17,22.5,Semi_urban,14,0,4,6
66,45,29795,365,Rural,Female,245366,11,0,3,Education,0.59,21.16,Semi_urban,17,1,9,35
67,63,84555,432,Semi-urban,Male,447132,3,0,5,Business,-2.88,19.92,Semi_urban,29,0,4,16
68,53,123107,665,Urban,Male,306449,1,0,10,Business,4.51,21.08,Semi_urban,25,1,6,42
69,29,71529,381,Semi-urban,Male,426421,9,0,9,Medical,-1.69,21.6,Semi_urban,21,1,8,35
70,55,162744,627,Semi-urban,Female,123744,9,0,3,Business,0.34,18.31,Rural,29,0,4,2
71,33,187022,397,Semi-urban,Male,54349,2,0,6,Medical,6.0,20.66,Rural,23,1,8,33
72,50,31009,626,Urban,Male,438615,4,0,6,Business,-6.51,21.59,Rural,10,1,5,30
73,34,198168,841,Urban,Female,233472,4,0,11,Education,-3.58,18.78,Rural,20,0,8,22
74,27,170616,424,Rural,Female,295091,1,0,6,Education,0.43,20.69,Rural,19,0,3,36
75,33,49381,509,Rural,Female,312419,2,0,5,Medical,5.35,20.08,Semi_urban,23,1,3,13
76,42,147769,432,Semi-urban,Male,141035,8,0,2,Medical,-1.49,23.21,Urban,24,0,9,6
77,59,176359,802,Semi-urban,Female,127656,6,0,1,Business,-8.54,20.94,Urban,24,1,4,16
78,40,84610,456,Urban,Male,52197,1,1,5,Personal,9.78,20.56,Rural,11,0,8,36
79,35,88122,681,Urban,Female,158752,7,0,8,Business,4.16,19.46,Urban,15,0,7,32
80,64,88184,321,Urban,Female,195988,11,0,10,Business,4.45,23.74,Urban,18,0,4,38
81,37,191153,718,Semi-urban,Male,226094,7,0,5,Medical,-0.7,23.77,Semi_urban,15,1,9,25
82,43,196384,771,Semi-urban,Male,364118,6,0,3,Personal,0.94,20.2,Semi_urban,10,1,6,7
83,45,107228,533,Urban,Female,157318,11,1,3,Personal,9.88,23.57,Urban,14,0,7,19
84,44,92943,753,Semi-urban,Male,330029,8,0,2,Medical,1.9,21.71,Semi_urban,21,1,9,30
85,64,100770,461,Urban,Male,391205,11,0,7,Education,-5.62,22.69,Semi_urban,25,1,3,46
86,60,72726,600,Rural,Female,401557,5,0,2,Medical,9.29,18.54,Urban,10,0,9,45
87,48,173283,605,Urban,Male,380601,2,0,6,Medical,0.76,18.13,Semi_urban,26,1,5,18
88,34,180552,301,Semi-urban,Male,274891,4,0,8,Medical,-9.59,21.08,Rural,27,1,4,24
89,64,67780,570,Semi-urban,Female,472200,11,0,8,Personal,1.47,18.46,Rural,14,0,8,3
90,20,62503,720,Semi-urban,Male,212548,8,0,2,Medical,-8.59,23.35,Urban,29,0,8,5
91,44,77893,442,Semi-urban,Male,105866,8,0,6,Personal,0.55,22.92,Urban,29,0,4,25
92,26,197265,834,Urban,Male,348276,5,0,3,Medical,6.51,22.29,Rural,22,1,4,10
93,28,81358,336,Urban,Female,68409,6,0,9,Education,0.78,18.19,Semi_urban,26,0,7,7
94,43,100857,406,Rural,Male,166699,9,1,3,Education,-2.53,20.75,Urban,25,0,9,47
95,20,140457,596,Urban,Male,350731,10,0,1,Business,7.65,18.47,Semi_urban,22,0,9,24
96,63,173189,396,Rural,Male,224306,10,0,9,Business,8.55,23.57,Semi_urban,29,1,8,23
97,27,137928,580,Urban,Male,76949,10,0,8,Personal,-3.05,21.68,Urban,12,0,6,24
98,43,78706,409,Urban,Male,351712,11,0,2,Education,-0.02,18.94,Rural,15,1,5,31
99,30,160548,848,Semi-urban,Female,338414,11,0,10,Personal,9.66,21.36,Rural,20,1,5,18
100,36,102806,487,Rural,Male,308740,2,1,10,Medical,-6.44,18.71,Rural,16,1,4,14
101,27,75006,787,Semi-urban,Female,35786,5,1,3,Medical,-4.04,18.87,Rural,23,1,9,18
102,54,107238,653,Semi-urban,Male,127887,9,0,7,Personal,-1.43,18.49,Rural,21,1,5,9
103,54,65798,318,Urban,Female,88499,3,0,6,Business,-7.98,23.23,Rural,10,1,9,36
104,52,97271,692,Urban,Male,28999,6,0,8,Personal,-4.56,21.27,Semi_urban,26,1,9,22
105,24,50177,560,Rural,Female,152590,4,0,10,Personal,0.89,19.97,Rural,27,0,5,15
106,61,148022,709,Rural,Male,164479,4,0,5,Business,-5.43,18.0,Urban,20,1,4,23
107,58,150156,702,Urban,Male,331447,3,0,5,Medical,3.73,20.83,Urban,21,1,4,33
108,60,102215,783,Rural,Male,296645,10,0,2,Business,-3.05,21.08,Rural,22,1,9,15
109,47,63013,603,Urban,Male,107424,1,0,6,Education,-8.2,20.02,Rural,22,1,8,43
110,26,102600,317,Urban,Female,302424,11,1,11,Business,5.29,20.91,Urban,14,1,6,33
111,28,116099,483,Urban,Male,453473,8,0,11,Education,1.35,18.6,Urban,21,1,8,24
112,27,73450,704,Rural,Male,296189,5,0,5,Education,6.5,23.53,Urban,13,0,4,14
113,31,199000,430,Semi-urban,Male,490571,2,0,9,Business,-2.8,19.55,Rural,29,0,4,15
114,53,142640,778,Rural,Male,486983,1,0,3,Business,-9.61,23.69,Urban,19,0,6,2
115,52,112403,307,Semi-urban,Female,29432,1,0,5,Business,-9.07,20.96,Rural,26,1,6,18
116,42,196454,617,Rural,Male,453913,4,0,3,Personal,5.91,23.14,Rural,22,0,8,18
117,43,119290,690,Semi-urban,Male,293889,4,0,9,Business,-1.79,21.46,Rural,24,1,5,22
118,56,151832,818,Semi-urban,Male,427659,6,0,9,Education,9.53,23.07,Rural,28,1,8,13
119,54,44142,435,Rural,Male,387864,11,0,10,Education,6.61,18.06,Urban,19,0,4,7
120,63,130189,830,Rural,Female,263606,7,0,7,Education,-9.68,19.12,Semi_urban,16,0,7,1
121,59,127532,666,Semi-urban,Male,443133,1,0,1,Business,7.4,20.12,Semi_urban,21,0,4,2
122,41,168362,788,Urban,Female,432216,10,0,9,Medical,-5.74,19.78,Semi_urban,22,1,5,23
123,46,151436,310,Semi-urban,Male,442548,2,0,9,Medical,-0.27,23.68,Urban,24,0,8,29
124,54,76921,745,Semi-urban,Female,362976,3,0,10,Education,0.12,20.37,Urban,25,0,3,37
125,20,39797,413,Urban,Female,243521,9,0,5,Education,-8.81,23.83,Rural,16,1,6,34
126,54,52535,495,Semi-urban,Male,375178,4,0,11,Personal,-7.49,21.91,Semi_urban,11,0,9,45
127,56,66300,622,Urban,Male,381794,6,0,2,Business,-1.54,23.01,Urban,27,0,4,28
128,33,67176,811,Urban,Male,326168,2,0,1,Business,2.85,20.36,Rural,24,1,7,19
129,22,36105,464,Rural,Male,490237,11,0,2,Education,-4.71,19.14,Rural,24,0,7,11
130,20,159011,551,Semi-urban,Female,403869,2,0,4,Personal,0.53,18.3,Rural,27,1,4,22
131,24,99472,343,Semi-urban,Female,239534,2,0,4,Education,-2.42,21.94,Rural,20,1,8,47
132,45,193101,769,Urban,Female,453294,11,0,1,Personal,2.61,23.83,Rural,10,0,8,46
133,33,166935,788,Semi-urban,Female,336769,5,0,8,Education,-1.51,18.71,Rural,14,1,3,4
134,58,98097,480,Urban,Male,292338,9,0,10,Education,7.03,22.63,Urban,26,1,9,45
135,46,161519,376,Semi-urban,Male,463735,6,1,8,Business,9.67,20.19,Rural,20,1,8,40
136,28,116160,673,Semi-urban,Female,389611,9,0,8,Personal,8.26,23.96,Urban,18,0,8,15
137,34,66940,366,Urban,Male,256663,6,0,5,Medical,-6.63,23.22,Urban,17,1,6,2
138,34,105001,824,Urban,Female,48748,9,0,10,Personal,-0.86,19.38,Semi_urban,29,1,4,29
139,45,170714,391,Semi-urban,Female,126778,5,0,2,Personal,-0.82,22.59,Semi_urban,10,0,5,21
140,61,27928,543,Semi-urban,Female,490237,11,0,4,Business,6.81,22.41,Rural,18,1,6,3
141,32,68002,640,Urban,Male,319140,1,0,1,Medical,-2.86,22.58,Rural,23,1,8,4
142,51,104853,603,Rural,Female,107605,6,0,10,Medical,0.99,18.5,Semi_urban,23,1,7,5
143,58,134614,697,Rural,Female,136070,4,0,1,Business,2.19,22.86,Rural,13,0,3,37
144,51,137517,747,Semi-urban,Female,50638,9,0,10,Education,-7.77,19.57,Urban,23,1,5,13
145,23,176089,396,Semi-urban,Male,199216,6,0,3,Personal,1.16,21.54,Urban,12,0,9,20
146,49,99064,630,Semi-urban,Male,456256,1,0,4,Personal,-5.06,18.69,Rural,27,0,4,12
147,56,139694,504,Urban,Female,347427,6,0,11,Education,-5.87,21.35,Semi_urban,26,1,6,32
148,42,164385,748,Semi-urban,Male,32980,3,0,11,Medical,-4.99,23.44,Rural,18,0,8,32
149,58,152631,717,Semi-urban,Male,163083,3,0,3,Education,-8.01,19.06,Semi_urban,26,1,4,2
150,64,70893,376,Semi-urban,Male,162158,7,0,11,Medical,-8.61,23.13,Urban,29,1,7,16
151,34,35167,848,Rural,Male,225541,2,0,3,Education,2.94,20.61,Semi_urban,27,0,3,3
152,62,58598,724,Semi-urban,Female,75498,9,0,8,Education,8.82,19.93,Semi_urban,24,1,5,25
153,48,158595,728,Semi-urban,Female,179350,9,0,4,Medical,3.76,18.34,Rural,14,1,7,20
154,55,69777,784,Urban,Female,333537,7,0,3,Personal,-3.76,21.17,Semi_urban,12,0,4,3
155,32,179511,434,Rural,Female,266549,9,0,9,Education,-3.3,19.2,Semi_urban,23,0,9,11
156,51,136378,553,Urban,Male,70158,11,0,1,Medical,0.83,23.64,Urban,13,1,5,6
157,26,101060,554,Semi-urban,Female,98841,6,0,8,Personal,7.33,19.43,Semi_urban,12,1,8,46
158,41,33285,798,Semi-urban,Male,384224,9,0,5,Personal,-5.95,21.52,Rural,27,0,4,25
159,47,162045,783,Semi-urban,Female,131948,10,0,8,Personal,-0.63,21.35,Urban,15,1,4,28
160,21,142970,345,Semi-urban,Female,68636,2,0,10,Medical,-0.02,20.02,Semi_urban,15,0,8,4
161,61,42694,742,Semi-urban,Male,110075,5,0,3,Medical,8.62,23.11,Semi_urban,28,1,3,30
162,64,186846,303,Urban,Female,241935,11,1,6,Education,0.72,19.1,Urban,18,1,3,2
163,25,155374,300,Semi-urban,Male,189506,6,0,11,Education,5.62,22.9,Semi_urban,22,1,3,47
164,47,173463,589,Semi-urban,Female,152475,6,0,7,Education,-8.24,19.24,Urban,25,1,3,8
165,47,24611,408,Rural,Female,190681,11,0,8,Education,-3.46,18.23,Urban,24,0,3,44
166,63,29372,759,Rural,Male,7420,4,0,7,Medical,2.23,23.66,Rural,24,1,8,46
167,63,175384,565,Semi-urban,Female,147290,4,0,7,Medical,3.55,21.82,Semi_urban,19,0,6,14
168,39,165152,437,Semi-urban,Male,438907,5,0,2,Business,7.7,21.78,Urban,26,0,9,4
169,49,100618,733,Semi-urban,Male,218058,6,0,3,Education,1.81,19.59,Urban,23,0,8,45
170,30,132945,343,Semi-urban,Female,428350,8,0,6,Medical,-4.21,18.84,Rural,10,0,3,33
171,47,128397,809,Semi-urban,Female,270277,10,0,3,Business,0.78,22.24,Rural,22,1,3,16
172,44,116213,561,Semi-urban,Male,328045,1,0,9,Education,4.23,21.11,Rural,25,0,5,39
173,58,40874,451,Urban,Female,104089,8,0,9,Business,5.69,19.91,Urban,13,1,5,23
174,52,152669,512,Urban,Female,70370,2,0,6,Education,8.89,19.9,Urban,12,0,8,8
175,20,31600,533,Urban,Male,445270,11,0,1,Education,-6.18,23.34,Rural,19,0,8,19
176,46,154819,660,Rural,Male,307647,7,1,1,Personal,3.22,23.34,Rural,29,1,5,46
177,32,99415,619,Semi-urban,Female,129309,4,0,4,Medical,-5.99,19.65,Rural,23,0,6,19
178,60,175887,521,Rural,Male,348815,8,0,11,Business,-3.64,22.76,Rural,21,0,3,26
179,22,114348,509,Rural,Female,55570,6,0,10,Education,-7.14,19.36,Urban,20,0,8,18
180,58,125736,695,Rural,Female,205298,5,0,8,Medical,5.46,22.85,Rural,26,1,6,29
181,25,44714,788,Urban,Female,104851,10,0,3,Business,8.28,18.76,Urban,14,0,6,14
182,27,169962,763,Semi-urban,Male,312375,10,0,4,Personal,-9.4,22.55,Rural,18,1,8,36
183,46,155797,751,Semi-urban,Male,349422,5,0,11,Medical,6.27,21.33,Semi_urban,19,0,4,11
184,28,194277,712,Rural,Female,315078,4,0,6,Business,-5.16,18.71,Semi_urban,29,0,6,45
185,56,171756,775,Urban,Male,268706,3,0,11,Education,-0.26,21.69,Urban,26,0,4,9
186,52,131573,555,Rural,Male,205994,3,0,9,Personal,4.96,19.15,Rural,22,1,8,31
187,61,33092,449,Rural,Male,285705,3,1,4,Medical,0.14,19.16,Rural,13,1,7,39
188,63,115918,426,Semi-urban,Male,189034,7,0,3,Education,-5.38,20.68,Rural,29,1,5,39
189,43,190842,691,Urban,Male,431462,8,0,10,Personal,8.12,23.79,Rural,18,1,9,1
190,34,45457,779,Semi-urban,Female,218639,8,0,10,Personal,1.87,23.35,Semi_urban,14,0,9,34
191,51,91667,696,Rural,Male,257435,2,0,9,Business,8.63,22.96,Urban,28,1,4,30
192,51,110751,701,Semi-urban,Male,136335,3,0,7,Education,6.93,23.11,Semi_urban,17,1,7,21
193,43,82894,573,Rural,Male,225094,2,0,9,Education,7.53,20.98,Semi_urban,19,0,8,11
194,60,81305,438,Urban,Female,127691,6,0,11,Medical,-2.77,20.25,Rural,13,0,6,3
195,31,163684,402,Semi-urban,Female,238118,11,0,10,Medical,9.75,23.3,Urban,13,0,8,40
196,58,188161,541,Semi-urban,Male,11646,3,0,6,Medical,7.05,18.49,Urban,14,1,4,43
197,21,72137,416,Semi-urban,Female,102439,6,0,4,Medical,-3.25,23.98,Semi_urban,13,0,6,32
198,22,20559,513,Semi-urban,Male,81684,4,0,5,Personal,7.93,21.32,Semi_urban,14,0,4,4
199,56,86249,783,Semi-urban,Female,119517,10,0,10,Medical,5.11,21.24,Rural,26,1,5,22
200,36,57361,828,Urban,Female,358817,10,0,2,Education,4.5,19.75,Urban,25,0,9,23
201,21,100720,523,Urban,Male,162084,6,0,3,Personal,-9.88,19.02,Semi_urban,21,1,6,36
202,21,35261,569,Semi-urban,Female,183650,3,0,5,Medical,-9.55,22.08,Semi_urban,10,0,9,15
203,47,40372,433,Rural,Male,216831,5,0,3,Medical,3.9,20.17,Semi_urban,11,0,3,20
204,42,75355,413,Rural,Male,416605,8,1,3,Business,-4.43,19.81,Rural,17,1,3,41
205,56,118560,740,Semi-urban,Female,347033,3,0,9,Personal,-8.83,18.97,Rural,20,1,8,41
206,51,183616,664,Semi-urban,Female,57292,9,0,4,Education,-4.28,21.21,Urban,11,0,4,47
207,52,20037,531,Urban,Female,30483,9,0,4,Medical,6.76,21.53,Rural,22,0,5,38
208,20,194104,757,Urban,Male,168969,7,0,1,Personal,-0.59,20.66,Urban,11,1,6,6
209,38,61420,674,Semi-urban,Male,440113,8,0,7,Education,2.31,18.07,Semi_urban,23,0,6,2
210,21,117243,506,Semi-urban,Male,156174,9,0,10,Medical,6.01,20.95,Urban,25,1,4,30
211,63,149380,819,Rural,Female,218806,1,1,9,Medical,-3.53,19.63,Urban,10,1,5,44
212,45,54600,767,Urban,Female,361218,7,1,8,Business,-9.78,18.83,Semi_urban,23,0,7,19
213,51,199357,742,Semi-urban,Female,338529,10,0,2,Business,-3.53,21.47,Semi_urban,25,0,6,30
214,25,109520,620,Urban,Female,98493,3,0,6,Personal,9.13,22.03,Rural,28,0,9,25
215,51,25167,392,Semi-urban,Male,387438,6,0,10,Business,-0.35,21.11,Semi_urban,14,1,7,45
216,23,20432,707,Semi-urban,Female,463766,9,0,10,Business,1.4,21.69,Semi_urban,12,0,6,34
217,30,89687,457,Semi-urban,Male,280951,10,0,5,Personal,5.21,21.64,Semi_urban,16,1,4,29
218,36,91947,398,Semi-urban,Male,80765,11,0,8,Medical,-7.7,18.75,Semi_urban,23,0,5,4
219,57,116324,524,Rural,Male,256065,8,0,1,Education,4.68,19.29,Rural,27,1,3,10
220,43,70903,740,Semi-urban,Female,205096,2,1,9,Personal,-4.04,18.06,Semi_urban,17,0,4,19
221,24,85792,700,Rural,Female,51062,4,0,9,Personal,-2.24,23.89,Urban,21,0,3,32
222,53,53439,363,Rural,Female,292426,11,0,11,Education,-4.61,19.27,Urban,16,1,7,28
223,25,184329,578,Semi-urban,Female,366150,5,0,7,Business,-6.93,22.89,Semi_urban,26,1,7,14
224,41,195746,818,Urban,Female,124529,10,1,8,Personal,-2.77,22.69,Urban,20,1,8,37
225,30,71248,547,Urban,Female,470327,6,0,9,Medical,-8.11,22.23,Rural,18,1,4,11
226,35,196443,667,Semi-urban,Female,118729,7,1,5,Personal,6.9,20.7,Semi_urban,24,0,7,12
227,52,188369,397,Semi-urban,Female,249816,11,1,11,Education,-3.88,21.5,Semi_urban,24,1,6,41
228,28,54743,567,Semi-urban,Female,281416,4,0,2,Medical,3.07,19.12,Rural,13,0,5,5
229,25,99803,359,Urban,Female,58283,4,0,1,Personal,-4.07,18.64,Semi_urban,21,1,4,15
230,35,95117,799,Urban,Female,58994,5,0,5,Medical,-5.79,20.11,Semi_urban,21,1,8,22
231,48,42076,607,Semi-urban,Female,355224,9,1,8,Education,4.27,22.95,Rural,17,1,7,5
232,22,107483,792,Urban,Female,454025,9,1,10,Personal,2.48,21.38,Urban,26,0,8,41
233,39,154035,710,Rural,Female,84904,1,0,4,Personal,-5.64,22.58,Semi_urban,26,0,7,15
234,55,139217,439,Urban,Male,175332,5,0,4,Education,2.24,23.34,Semi_urban,20,1,8,5
235,38,164938,627,Urban,Male,403715,5,0,4,Medical,-9.9,21.36,Semi_urban,18,0,7,12
236,45,124504,763,Semi-urban,Male,351619,7,0,8,Medical,-6.46,20.2,Urban,26,0,8,18
237,22,183377,462,Rural,Female,427533,8,0,7,Education,4.56,23.13,Rural,25,1,7,39
238,38,125649,359,Semi-urban,Male,16178,3,0,11,Medical,-1.8,19.38,Rural,28,1,3,3
239,39,146244,330,Urban,Female,271083,1,0,1,Medical,-5.93,18.15,Semi_urban,12,1,9,29
240,51,52813,632,Rural,Female,386783,2,0,10,Personal,0.12,18.3,Rural,29,0,6,24
241,26,86729,375,Semi-urban,Male,123026,6,0,6,Medical,-0.7,21.49,Urban,22,0,9,45
242,60,24512,616,Urban,Female,120485,11,0,4,Education,2.68,23.35,Urban,21,1,9,21
243,52,173738,716,Rural,Female,101137,6,0,2,Medical,-8.55,21.39,Semi_urban,28,1,9,42
244,59,167702,489,Semi-urban,Female,488812,11,0,3,Personal,6.39,20.46,Rural,12,0,8,39
245,58,137907,788,Rural,Female,86242,5,1,4,Medical,-8.83,21.46,Urban,14,1,6,18
246,37,151708,614,Urban,Male,205282,11,0,10,Education,-0.92,22.03,Urban,14,0,7,33
247,59,154847,595,Semi-urban,Female,425503,5,0,7,Business,4.21,22.55,Urban,22,1,3,9
248,20,84591,800,Urban,Male,374082,9,0,1,Business,-3.1,20.08,Urban,22,1,7,25
249,30,31351,476,Rural,Male,257281,11,0,1,Business,8.2,20.32,Rural,24,0,5,16
250,47,135400,514,Urban,Female,367101,7,1,3,Business,5.1,18.14,Semi_urban,21,1,8,26
251,44,140533,631,Rural,Male,194429,6,0,2,Personal,-1.48,21.9,Rural,14,0,6,18
252,42,123627,427,Semi-urban,Female,145226,11,0,3,Medical,-6.32,22.66,Semi_urban,29,1,4,41
253,50,148381,568,Urban,Female,325060,7,0,3,Personal,-9.13,21.07,Urban,13,0,8,46
254,49,115707,834,Semi-urban,Male,247021,3,0,11,Business,6.03,20.26,Urban,22,0,5,42
255,61,101678,665,Semi-urban,Male,224673,7,0,1,Medical,-6.11,20.0,Urban,25,1,3,10
256,54,93309,647,Semi-urban,Male,378356,3,0,6,Business,-4.61,21.87,Semi_urban,27,1,4,22
257,26,30778,441,Semi-urban,Female,228014,8,0,8,Business,-9.79,19.98,Rural,11,1,5,26
258,35,163573,444,Urban,Male,249945,10,1,5,Education,-9.64,21.59,Urban,19,0,7,29
259,45,132713,544,Urban,Male,17034,10,0,1,Personal,-5.39,23.56,Semi_urban,17,0,7,20
260,21,153180,741,Semi-urban,Male,362157,9,0,11,Business,7.46,19.98,Urban,27,1,6,31
261,20,56382,589,Semi-urban,Female,165809,3,0,10,Business,5.62,18.41,Semi_urban,27,1,4,42
262,31,95787,411,Rural,Female,399031,7,0,11,Personal,5.4,23.24,Rural,29,1,4,25
263,24,43341,513,Semi-urban,Male,201568,8,0,7,Business,6.54,19.64,Urban,25,1,3,25
264,56,165439,499,Rural,Male,396180,3,0,11,Business,-6.27,23.93,Urban,24,0,8,22
265,51,139967,704,Rural,Male,231904,6,0,10,Medical,9.58,23.04,Rural,25,0,6,13
266,28,151066,720,Semi-urban,Female,262623,7,0,9,Personal,-5.36,20.56,Urban,14,0,7,12
267,60,163074,306,Urban,Female,44735,4,0,7,Personal,-7.0,21.77,Rural,12,0,9,12
268,54,105820,824,Rural,Female,55362,6,0,9,Education,-4.11,19.67,Rural,24,0,4,24
